"i","t","x","y"
1,1,-1.7306068549501,1.95181484124777
1,2,-1.46856828732307,1.15889841695479
1,3,1.4993722688819,0.465372156327416
1,4,-0.239251096359076,1.33057485962384
1,5,0.931262687897532,1.95908317013039
1,6,-0.76165051947495,0.531575044787289
1,7,-0.412311217663416,0.810279771808127
1,8,-0.753719369579739,1.30694835063403
1,9,1.44786019036424,0.631987428220421
1,10,-0.344029498465625,1.96609407513901
1,11,1.52222385785344,1.60627979625779
1,12,-0.945481142068552,3.2307741102609
1,13,-1.35899776338931,0.802600413261228
1,14,1.04523900161805,1.57295554202621
1,15,-0.431347407584141,1.97756467944532
1,16,1.70904827940682,0.845541957005503
1,17,0.135403023579157,4.35039081849865
1,18,-1.40172061964013,1.17332808731565
1,19,0.752497396862779,1.82771731220094
1,20,-0.831621891523539,1.73520773738848
2,1,1.42181011289008,0.699347398335522
2,2,-1.9124310882968,3.89258525900927
2,3,0.403639051731507,2.22526332728197
2,4,0.750404952334823,0.958510934965384
2,5,1.53896645599972,1.36675752510471
2,6,0.380656428987509,3.98132495471617
2,7,-0.743997405606966,0.795261274077521
2,8,-0.235048937389808,2.15344299051965
2,9,-1.66007894723731,1.09492281912846
2,10,1.3355701838868,1.50764624644269
2,11,0.0805216843098265,0.792366210280568
2,12,-0.0725355493960792,2.49678097392982
2,13,0.136179796519496,4.90504503899594
2,14,-0.473114768730776,4.12069073270451
2,15,1.10879114347948,1.01600123203521
2,16,-0.358004740638167,3.79509861137469
2,17,-0.465143001529223,1.81000412069925
2,18,-0.872612898507737,1.47148420753402
2,19,-1.33957034071087,0.751519424700692
2,20,-0.403406133583023,1.91713077424866
3,1,0.72314767154429,3.36583662012436
3,2,0.112474864218781,1.11029907413667
3,3,1.03187193805057,1.9631872156963
3,4,0.353802747664616,1.28632421276277
3,5,0.435302108753368,5.41217832128662
3,6,0.612183259712656,1.60815087575353
3,7,-0.493024323101275,1.60569599242788
3,8,0.821957372422884,0.805768034008831
3,9,-0.182712986618873,1.84460864989254
3,10,0.09038251148077,1.02462272101904
3,11,-0.054613000122892,3.33124720845633
3,12,-0.492845423620837,0.321481447768485
3,13,0.540129250287682,3.40489459190304
3,14,-0.510614517434734,1.46445555239617
3,15,1.00212829260313,4.33456677512531
3,16,0.487283703150258,0.4180606953575
3,17,-0.0887851196190435,1.78035328862927
3,18,1.03046775561089,2.46619806052159
3,19,-0.819833124402956,0.848771212207128
3,20,0.449855210605506,2.57738780237097
4,1,1.37320791743964,1.18712508856812
4,2,-0.0279774084267832,1.60155199210239
4,3,-0.666787628196145,1.49075858076372
4,4,0.219653293812607,0.697777327501004
4,5,-0.392944342990939,3.3987070201535
4,6,0.923532003422053,2.34085137551355
4,7,-0.493149086945772,1.22815326767881
4,8,-0.743497197679089,4.99032068292022
4,9,0.48303056045573,0.681579410286281
4,10,1.23691821745643,2.93136662393201
4,11,0.387686738899285,6.09315832731201
4,12,-0.307691499856801,1.3086119796942
4,13,-0.161910651947719,0.407179469263489
4,14,1.07786717377412,2.53328295037628
4,15,1.13043359784053,2.57307129616377
4,16,1.45923984389238,0.86365185469226
4,17,0.00874088668309618,1.23535024182741
4,18,1.35461934940352,1.30994335705761
4,19,-0.20363423683241,1.74394116012425
4,20,1.77829187081351,0.534529354751905
5,1,1.44901048457149,2.9344513404038
5,2,1.11106598502604,6.20066759292022
5,3,-0.813962009926484,2.1454603665079
5,4,1.50691489295932,3.84352145045808
5,5,-1.84208344645031,2.64426624639649
5,6,0.328170765417941,4.53839271875395
5,7,-1.11680957839583,0.513528167662624
5,8,0.439366212634279,2.18276347440607
5,9,1.29746663609667,1.04047148610768
5,10,0.607175976496452,2.13449952356524
5,11,0.317358974611533,2.22037392782627
5,12,-0.431050019240882,1.1517146988339
5,13,-0.716523168017588,3.01669057076423
5,14,-0.811964921303645,1.14119335523406
5,15,-1.60265545050901,1.08756872539321
5,16,0.327568188631488,0.757760012966247
5,17,-0.0533701925088013,1.17328172799546
5,18,-0.444517126674023,1.05144019762375
5,19,0.20505551851143,5.37204549377408
5,20,0.384874440656068,5.50911444847724
6,1,-0.633331374486677,1.1965790812922
6,2,0.157542736020607,0.185535640589028
6,3,-1.50294318020743,1.27261272746295
6,4,-0.833416506002526,0.875047518319871
6,5,0.957465005639936,2.81927303257707
6,6,-1.20937880463947,0.516562603110462
6,7,-0.413640804864689,1.52416993865894
6,8,-1.01725416716658,1.17183011071274
6,9,-0.877745074707815,1.55542304810954
6,10,-0.302586123583377,1.53892341055605
6,11,1.93957860152695,0.878318710592688
6,12,0.592232001768629,0.484028102608637
6,13,0.687283768584098,2.19975508896071
6,14,-0.209828365820592,2.13869423527153
6,15,0.656381129285941,0.711348537482333
6,16,-2.41186137856763,1.13170874134282
6,17,-1.25289475101568,1.52972419727143
6,18,0.0283314311769314,0.528274964252259
6,19,0.224536384804568,1.27357907496255
6,20,0.474747897469904,2.32029198760884
7,1,-0.62447271390072,0.147866437308495
7,2,0.19562501362637,1.18077622393474
7,3,-0.705930518355545,0.680190116218086
7,4,-0.345712976183651,1.37722430760759
7,5,-0.675806065340299,1.6485305050549
7,6,0.717089660487293,0.264301510146293
7,7,-1.8137609901182,0.615152359339743
7,8,-0.141209769763055,0.813923763122716
7,9,0.344827366078259,0.841377899508052
7,10,-0.23488359560234,0.517958230612899
7,11,1.54856556178801,1.63134560892814
7,12,-0.852992657981747,0.694519600297509
7,13,1.12277213469584,4.65837776688166
7,14,-1.21346714943608,1.57674476112574
7,15,0.261394175231988,0.700930954535886
7,16,-0.596138985672622,0.574446356416188
7,17,-0.697683594875362,2.70584578343712
7,18,-0.891987198592618,3.54750572654003
7,19,-0.995086516744652,2.14199662247184
7,20,-1.7054858932243,2.53356758080697
8,1,0.125494498097006,2.0297895116153
8,2,-0.194575441516695,14.1028148821256
8,3,3.36206093136658,2.28121507037925
8,4,-0.222880600344914,0.71796050068648
8,5,-0.25302593682486,2.84185423033478
8,6,-1.3751279403176,2.35847604466266
8,7,0.745745586504203,0.192703148781603
8,8,-0.984464770866316,1.18367335913776
8,9,0.430014702955435,1.15658359095627
8,10,0.149236083212779,1.07622873556305
8,11,0.419429501374272,1.164157311843
8,12,-2.02348947756096,1.21412938640953
8,13,0.666896060081958,2.36378770967258
8,14,0.513840142570076,1.48327924971951
8,15,-1.15214734161598,1.16450306655476
8,16,-1.90092838853688,2.77523630031455
8,17,1.32271217748621,3.49594475527109
8,18,-1.63147561359914,0.509897235575104
8,19,1.82505842196471,1.97044302455297
8,20,-2.95705039657355,2.99599076416287
9,1,0.326011281362399,0.842941167096134
9,2,1.05051353758883,0.537747878325946
9,3,0.721854641313218,0.491449840912128
9,4,-1.64236251413969,1.70039066259239
9,5,2.5856277824274,1.48819978765884
9,6,-0.849269984820077,2.53161225283593
9,7,-0.522421877462735,0.814203103068071
9,8,-0.248392064227478,0.251786652289708
9,9,-1.81547555635596,0.741226677260232
9,10,-0.0821316100967694,2.30384739787263
9,11,-0.00465164508194598,0.892702964821302
9,12,0.57956610200042,2.28567980463956
9,13,3.19347137833698,2.09308820144971
9,14,1.77676127922871,2.69843556704433
9,15,-0.696562513365905,0.678237323232279
9,16,-2.11182015759242,0.854128016850047
9,17,1.55081823626606,3.63553579336095
9,18,-0.533835461615413,1.05139169079387
9,19,0.0119147918621705,3.24816931961008
9,20,-0.337807473630767,1.3782702280324
10,1,0.486803476495832,6.98561495085985
10,2,0.72552167511005,6.20091763673102
10,3,0.27314181806404,0.325987449976905
10,4,-0.246761006416637,1.20073144881103
10,5,0.831321006321887,1.81065078794166
10,6,0.942878200349208,6.52642400536323
10,7,0.699634314987219,1.19508560392881
10,8,0.944659628486872,4.50704005744032
10,9,0.311072085495376,1.49039786155994
10,10,-1.41366570774324,1.67206191707697
10,11,0.630085012948344,0.164754237782019
10,12,-0.737729906009375,2.7560667256654
